0.84,0.16,-0.62,8.06,18.19,-2.75,0.65,1.84,-0.13,49.81,13.25,-19.69,0.13,-0.84,0.04,21.06,11.38,-12.0,-0.02,0.3,-0.15,16.19,23.44,-9.88,-0.43,0.48,0.0,0.37,25.81,-1.37,-0.16,0.0,-0.33,-3.44,13.13,2.56,0.44,-0.46,-0.63,0.44,5.94,0.69,-0.02,-0.4,-0.37,5.31,9.19,-3.62,0.35,-0.39,-0.15,4.5,15.88,-11.88,0.0,-0.13,0.61,14.5,21.44,-16.25,-0.17,0.63,0.42,13.44,26.0,-24.31,-1.05,-0.4,-1.03,13.19,43.06,-5.12,-1.66,0.53,-0.52,59.88,40.25,-25.5,-0.71,0.64,0.32,78.87,14.38,-28.38,-0.17,0.08,0.46,47.31,-10.19,-32.44,noInteraction
0.65,1.84,-0.13,49.81,13.25,-19.69,0.13,-0.84,0.04,21.06,11.38,-12.0,-0.02,0.3,-0.15,16.19,23.44,-9.88,-0.43,0.48,0.0,0.37,25.81,-1.37,-0.16,0.0,-0.33,-3.44,13.13,2.56,0.44,-0.46,-0.63,0.44,5.94,0.69,-0.02,-0.4,-0.37,5.31,9.19,-3.62,0.35,-0.39,-0.15,4.5,15.88,-11.88,0.0,-0.13,0.61,14.5,21.44,-16.25,-0.17,0.63,0.42,13.44,26.0,-24.31,-1.05,-0.4,-1.03,13.19,43.06,-5.12,-1.66,0.53,-0.52,59.88,40.25,-25.5,-0.71,0.64,0.32,78.87,14.38,-28.38,-0.17,0.08,0.46,47.31,-10.19,-32.44,1.83,-0.45,0.24,41.06,-18.25,-37.63,noInteraction
0.13,-0.84,0.04,21.06,11.38,-12.0,-0.02,0.3,-0.15,16.19,23.44,-9.88,-0.43,0.48,0.0,0.37,25.81,-1.37,-0.16,0.0,-0.33,-3.44,13.13,2.56,0.44,-0.46,-0.63,0.44,5.94,0.69,-0.02,-0.4,-0.37,5.31,9.19,-3.62,0.35,-0.39,-0.15,4.5,15.88,-11.88,0.0,-0.13,0.61,14.5,21.44,-16.25,-0.17,0.63,0.42,13.44,26.0,-24.31,-1.05,-0.4,-1.03,13.19,43.06,-5.12,-1.66,0.53,-0.52,59.88,40.25,-25.5,-0.71,0.64,0.32,78.87,14.38,-28.38,-0.17,0.08,0.46,47.31,-10.19,-32.44,1.83,-0.45,0.24,41.06,-18.25,-37.63,1.8,-0.85,0.54,-9.75,-40.88,-18.12,noInteraction
-0.02,0.3,-0.15,16.19,23.44,-9.88,-0.43,0.48,0.0,0.37,25.81,-1.37,-0.16,0.0,-0.33,-3.44,13.13,2.56,0.44,-0.46,-0.63,0.44,5.94,0.69,-0.02,-0.4,-0.37,5.31,9.19,-3.62,0.35,-0.39,-0.15,4.5,15.88,-11.88,0.0,-0.13,0.61,14.5,21.44,-16.25,-0.17,0.63,0.42,13.44,26.0,-24.31,-1.05,-0.4,-1.03,13.19,43.06,-5.12,-1.66,0.53,-0.52,59.88,40.25,-25.5,-0.71,0.64,0.32,78.87,14.38,-28.38,-0.17,0.08,0.46,47.31,-10.19,-32.44,1.83,-0.45,0.24,41.06,-18.25,-37.63,1.8,-0.85,0.54,-9.75,-40.88,-18.12,0.28,-0.54,1.72,-29.25,-74.44,0.0,noInteraction
-0.43,0.48,0.0,0.37,25.81,-1.37,-0.16,0.0,-0.33,-3.44,13.13,2.56,0.44,-0.46,-0.63,0.44,5.94,0.69,-0.02,-0.4,-0.37,5.31,9.19,-3.62,0.35,-0.39,-0.15,4.5,15.88,-11.88,0.0,-0.13,0.61,14.5,21.44,-16.25,-0.17,0.63,0.42,13.44,26.0,-24.31,-1.05,-0.4,-1.03,13.19,43.06,-5.12,-1.66,0.53,-0.52,59.88,40.25,-25.5,-0.71,0.64,0.32,78.87,14.38,-28.38,-0.17,0.08,0.46,47.31,-10.19,-32.44,1.83,-0.45,0.24,41.06,-18.25,-37.63,1.8,-0.85,0.54,-9.75,-40.88,-18.12,0.28,-0.54,1.72,-29.25,-74.44,0.0,0.78,-0.04,0.86,-3.87,-106.5,12.63,noInteraction
-0.16,0.0,-0.33,-3.44,13.13,2.56,0.44,-0.46,-0.63,0.44,5.94,0.69,-0.02,-0.4,-0.37,5.31,9.19,-3.62,0.35,-0.39,-0.15,4.5,15.88,-11.88,0.0,-0.13,0.61,14.5,21.44,-16.25,-0.17,0.63,0.42,13.44,26.0,-24.31,-1.05,-0.4,-1.03,13.19,43.06,-5.12,-1.66,0.53,-0.52,59.88,40.25,-25.5,-0.71,0.64,0.32,78.87,14.38,-28.38,-0.17,0.08,0.46,47.31,-10.19,-32.44,1.83,-0.45,0.24,41.06,-18.25,-37.63,1.8,-0.85,0.54,-9.75,-40.88,-18.12,0.28,-0.54,1.72,-29.25,-74.44,0.0,0.78,-0.04,0.86,-3.87,-106.5,12.63,-0.16,0.75,-0.43,-29.75,-105.19,-1.06,noInteraction
0.44,-0.46,-0.63,0.44,5.94,0.69,-0.02,-0.4,-0.37,5.31,9.19,-3.62,0.35,-0.39,-0.15,4.5,15.88,-11.88,0.0,-0.13,0.61,14.5,21.44,-16.25,-0.17,0.63,0.42,13.44,26.0,-24.31,-1.05,-0.4,-1.03,13.19,43.06,-5.12,-1.66,0.53,-0.52,59.88,40.25,-25.5,-0.71,0.64,0.32,78.87,14.38,-28.38,-0.17,0.08,0.46,47.31,-10.19,-32.44,1.83,-0.45,0.24,41.06,-18.25,-37.63,1.8,-0.85,0.54,-9.75,-40.88,-18.12,0.28,-0.54,1.72,-29.25,-74.44,0.0,0.78,-0.04,0.86,-3.87,-106.5,12.63,-0.16,0.75,-0.43,-29.75,-105.19,-1.06,-1.23,0.62,-0.49,-12.69,-89.75,-10.31,noInteraction
-0.02,-0.4,-0.37,5.31,9.19,-3.62,0.35,-0.39,-0.15,4.5,15.88,-11.88,0.0,-0.13,0.61,14.5,21.44,-16.25,-0.17,0.63,0.42,13.44,26.0,-24.31,-1.05,-0.4,-1.03,13.19,43.06,-5.12,-1.66,0.53,-0.52,59.88,40.25,-25.5,-0.71,0.64,0.32,78.87,14.38,-28.38,-0.17,0.08,0.46,47.31,-10.19,-32.44,1.83,-0.45,0.24,41.06,-18.25,-37.63,1.8,-0.85,0.54,-9.75,-40.88,-18.12,0.28,-0.54,1.72,-29.25,-74.44,0.0,0.78,-0.04,0.86,-3.87,-106.5,12.63,-0.16,0.75,-0.43,-29.75,-105.19,-1.06,-1.23,0.62,-0.49,-12.69,-89.75,-10.31,-1.31,0.54,-0.8,-0.62,-85.94,-21.12,noInteraction
0.35,-0.39,-0.15,4.5,15.88,-11.88,0.0,-0.13,0.61,14.5,21.44,-16.25,-0.17,0.63,0.42,13.44,26.0,-24.31,-1.05,-0.4,-1.03,13.19,43.06,-5.12,-1.66,0.53,-0.52,59.88,40.25,-25.5,-0.71,0.64,0.32,78.87,14.38,-28.38,-0.17,0.08,0.46,47.31,-10.19,-32.44,1.83,-0.45,0.24,41.06,-18.25,-37.63,1.8,-0.85,0.54,-9.75,-40.88,-18.12,0.28,-0.54,1.72,-29.25,-74.44,0.0,0.78,-0.04,0.86,-3.87,-106.5,12.63,-0.16,0.75,-0.43,-29.75,-105.19,-1.06,-1.23,0.62,-0.49,-12.69,-89.75,-10.31,-1.31,0.54,-0.8,-0.62,-85.94,-21.12,-1.56,-0.13,-0.51,4.12,-81.0,-38.56,noInteraction
0.0,-0.13,0.61,14.5,21.44,-16.25,-0.17,0.63,0.42,13.44,26.0,-24.31,-1.05,-0.4,-1.03,13.19,43.06,-5.12,-1.66,0.53,-0.52,59.88,40.25,-25.5,-0.71,0.64,0.32,78.87,14.38,-28.38,-0.17,0.08,0.46,47.31,-10.19,-32.44,1.83,-0.45,0.24,41.06,-18.25,-37.63,1.8,-0.85,0.54,-9.75,-40.88,-18.12,0.28,-0.54,1.72,-29.25,-74.44,0.0,0.78,-0.04,0.86,-3.87,-106.5,12.63,-0.16,0.75,-0.43,-29.75,-105.19,-1.06,-1.23,0.62,-0.49,-12.69,-89.75,-10.31,-1.31,0.54,-0.8,-0.62,-85.94,-21.12,-1.56,-0.13,-0.51,4.12,-81.0,-38.56,-0.87,2.57,-0.15,-41.0,-59.19,-68.81,noInteraction
